iter	Passed	Remaining
0	30	9000
1	61	9195
2	101	10076
3	139	10325
4	169	10018
5	198	9712
6	222	9300
7	245	8968
8	269	8719
9	293	8499
10	319	8384
11	344	8278
12	369	8151
13	394	8058
14	418	7959
15	445	7907
16	470	7833
17	495	7767
18	520	7703
19	547	7658
20	572	7609
21	597	7544
22	621	7481
23	647	7444
24	678	7464
25	703	7413
26	728	7362
27	751	7303
28	776	7253
29	802	7225
30	826	7171
31	850	7120
32	874	7073
33	898	7029
34	922	6981
35	945	6936
36	971	6903
37	1000	6901
38	1033	6917
39	1057	6874
40	1082	6836
41	1107	6802
42	1130	6759
43	1163	6769
44	1192	6759
45	1222	6748
46	1271	6844
47	1302	6835
48	1327	6801
49	1354	6772
50	1378	6732
51	1405	6702
52	1431	6671
53	1457	6638
54	1483	6606
55	1508	6571
56	1532	6534
57	1557	6500
58	1582	6465
59	1608	6435
60	1635	6406
61	1667	6400
62	1694	6374
63	1718	6337
64	1743	6303
65	1766	6264
66	1790	6227
67	1814	6189
68	1838	6153
69	1862	6119
70	1886	6083
71	1910	6049
72	1933	6013
73	1957	5977
74	1980	5942
75	2003	5905
76	2026	5869
77	2050	5834
78	2073	5799
79	2099	5774
80	2123	5741
81	2151	5720
82	2183	5708
83	2213	5690
84	2240	5667
85	2268	5644
86	2294	5616
87	2325	5601
88	2350	5573
89	2379	5552
90	2406	5527
91	2438	5514
92	2468	5495
93	2497	5473
94	2523	5446
95	2548	5415
96	2572	5383
97	2598	5355
98	2626	5331
99	2658	5317
100	2689	5299
101	2720	5280
102	2744	5249
103	2770	5221
104	2795	5191
105	2821	5164
106	2849	5140
107	2876	5113
108	2905	5091
109	2934	5067
110	2965	5048
111	2993	5025
112	3022	5001
113	3052	4980
114	3082	4959
115	3112	4937
116	3141	4914
117	3171	4891
118	3200	4867
119	3225	4838
120	3253	4812
121	3282	4788
122	3310	4763
123	3338	4737
124	3364	4709
125	3389	4680
126	3419	4657
127	3448	4634
128	3476	4607
129	3504	4582
130	3535	4560
131	3563	4534
132	3589	4506
133	3617	4481
134	3648	4459
135	3679	4436
136	3703	4405
137	3732	4381
138	3758	4353
139	3784	4325
140	3811	4298
141	3839	4272
142	3864	4242
143	3893	4217
144	3920	4191
145	3948	4164
146	3977	4140
147	4004	4112
148	4034	4089
149	4064	4064
150	4092	4038
151	4123	4014
152	4155	3992
153	4181	3964
154	4210	3939
155	4241	3915
156	4267	3886
157	4292	3857
158	4319	3830
159	4344	3801
160	4373	3776
161	4402	3750
162	4433	3726
163	4477	3712
164	4533	3708
165	4599	3712
166	4643	3697
167	4690	3685
168	4758	3688
169	4807	3676
170	4938	3725
171	5042	3752
172	5142	3775
173	5220	3780
174	5289	3777
175	5320	3748
176	5347	3716
177	5372	3682
178	5399	3649
179	5424	3616
180	5451	3583
181	5477	3551
182	5506	3520
183	5536	3490
184	5565	3459
185	5589	3425
186	5615	3393
187	5640	3360
188	5667	3328
189	5693	3296
190	5720	3264
191	5748	3233
192	5772	3200
193	5799	3169
194	5825	3136
195	5854	3106
196	5880	3074
197	5907	3043
198	5933	3011
199	5958	2979
200	5984	2947
201	6031	2926
202	6064	2897
203	6095	2868
204	6124	2838
205	6156	2809
206	6187	2779
207	6223	2752
208	6255	2723
209	6286	2694
210	6314	2663
211	6346	2634
212	6380	2606
213	6411	2576
214	6443	2547
215	6477	2518
216	6506	2488
217	6539	2459
218	6572	2430
219	6602	2400
220	6634	2371
221	6668	2342
222	6702	2314
223	6736	2285
224	6766	2255
225	6800	2226
226	6830	2196
227	6864	2167
228	6896	2138
229	6929	2108
230	6963	2079
231	6995	2050
232	7028	2021
233	7060	1991
234	7096	1962
235	7132	1934
236	7164	1904
237	7196	1874
238	7220	1842
239	7248	1812
240	7273	1780
241	7298	1749
242	7323	1717
243	7350	1686
244	7383	1657
245	7414	1627
246	7441	1596
247	7470	1566
248	7498	1535
249	7524	1504
250	7551	1474
251	7580	1443
252	7607	1413
253	7636	1383
254	7666	1352
255	7692	1322
256	7719	1291
257	7746	1260
258	7772	1230
259	7798	1199
260	7827	1169
261	7856	1139
262	7882	1108
263	7912	1078
264	7943	1049
265	7972	1019
266	7996	988
267	8022	957
268	8050	927
269	8078	897
270	8106	867
271	8131	837
272	8159	806
273	8191	777
274	8216	746
275	8245	716
276	8270	686
277	8295	656
278	8320	626
279	8344	596
280	8372	566
281	8398	536
282	8426	506
283	8454	476
284	8483	446
285	8510	416
286	8537	386
287	8562	356
288	8587	326
289	8613	297
290	8642	267
291	8667	237
292	8692	207
293	8719	177
294	8744	148
295	8768	118
296	8796	88
297	8825	59
298	8851	29
299	8877	0
